Total: 865 schools missing logo files
Out of 831 unique schools
Academy of Art|Academy_of_Art.svg
Ohio Christian|Ohio_Christian.svg
Ohio Midwestern|Ohio_Midwestern.svg
Ohio Northern|Ohio_Northern.svg
Ohio Valley|Ohio_Valley.svg
Ohio Wesleyan|Ohio_Wesleyan.svg
Ohio Wesleyan|Ohio_Wesleyan.svg
Ohio-Chillicothe|Ohio_Chillicothe.svg
Oklahoma Baptist|Oklahoma_Baptist.svg
Oklahoma Christian|Oklahoma_Christian.svg
Oklahoma City|Oklahoma_City.svg
Oklahoma City|Oklahoma_City.svg
Oklahoma Wesleyan Un|Oklahoma_Wesleyan_Un.svg
Old Westbury|Old_Westbury.svg
Old Westbury|Old_Westbury.svg
Olivet|Olivet.svg
Olivet Nazarene|Olivet_Nazarene.svg
Oregon Tech|Oregon_Tech.svg
Oswego St|Oswego_St.svg
Ottawa (AZ)|Ottawa_AZ.svg
Ottawa (KS)|Ottawa_KS.svg
Our Lady Of The Lake|Our_Lady_Of_The_Lake.svg
Ozark Christian|Ozark_Christian.svg
Pacific (OR)|Pacific_OR.svg
Pacific Lutheran|Pacific_Lutheran.svg
Pacific Union|Pacific_Union.svg
Pacifica College|Pacifica_College.svg
Paine|Paine.svg
Palm Beach Atlantic|Palm_Beach_Atlantic.svg
Panhandle St (OK)|Panhandle_St_OK.svg
Park University Gilbert|Park_University_Gilbert.svg
Paul Quinn|Paul_Quinn.svg
Paul Smith'S|Paul_SmithS.svg
Penn St Abington|Penn_St_Abington.svg
Penn State (Beaver)|Penn_State_Beaver.svg
Penn State (Brandywine)|Penn_State_Brandywine.svg
Penn State (Harrisburg)|Penn_State_Harrisburg.svg
Penn State (Mont Alto)|Penn_State_Mont_Alto.svg
Penn State - Wilkes-Barre|Penn_State_Wilkes_Barre.svg
Penn State Hazleton|Penn_State_Hazleton.svg
Penn State Scranton|Penn_State_Scranton.svg
Penn State-Alleghany|Penn_State_Alleghany.svg
Penn State-Altoona|Penn_State_Altoona.svg
Penn State-Behrend|Penn_State_Behrend.svg
Penn State-Fayette|Penn_State_Fayette.svg
Penn State-New Kensington|Penn_State_New_Kensington.svg
Penn State-Schuylkill|Penn_State_Schuylkill.svg
Penn State-Shenango|Penn_State_Shenango.svg
Penn State-York|Penn_State_York.svg
PennWest California|PennWest_California.svg
Pensacola Christian College|Pensacola_Christian_College.svg
Peru State|Peru_State.svg
Pfeiffer|Pfeiffer.svg
Philadelphia|Philadelphia.svg
Philadelphia Biblical University|Philadelphia_Biblical_University.svg
Philander Smith|Philander_Smith.svg
Phoenix|Phoenix.svg
Piedmont|Piedmont.svg
Pikeville|Pikeville.svg
Pine Manor|Pine_Manor.svg
Pittsburg State|Pittsburg_State.svg
Pittsburgh - Greensburg|Pittsburgh_Greensburg.svg
Plattsburgh St|Plattsburgh_St.svg
Plymouth State|Plymouth_State.svg
Point|Point.svg
Point Loma Nazarene|Point_Loma_Nazarene.svg
Point Park|Point_Park.svg
Point University|Point_University.svg
Pomona Pitzer|Pomona_Pitzer.svg
Portland Bible|Portland_Bible.svg
Post University|Post_University.svg
Pratt|Pratt.svg
Presentation College|Presentation_College.svg
Principia College|Principia_College.svg
Puerto Rico-Bayamon|Puerto_Rico_Bayamon.svg
Puerto Rico-Mayaguez|Puerto_Rico_Mayaguez.svg
Puerto Rico-Rio Piedras|Puerto_Rico_Rio_Piedras.svg
Puget Sound|Puget_Sound.svg
Purchase|Purchase.svg
Purdue North Central|Purdue_North_Central.svg
Purdue Northwest|Purdue_Northwest.svg
Purdue Northwest|Purdue_Northwest.svg
Queens College NY|Queens_College_NY.svg
Queens University|Queens_University.svg
RIT|RIT.svg
Randall University|Randall_University.svg
Randolph College|Randolph_College.svg
Randolph-Macon|Randolph_Macon.svg
Regent|Regent.svg
Regis|Regis.svg
Regis (CO)|Regis_CO.svg
